SC_NO,행정동코드,행정동,SCHUL_NM,ADRES,TELNO,OLD_ZIP,latitude,longitude,geometry
4317,1154568000,시흥제2동,운현유치원,서울특별시 금천구 시흥2동 벽산아파트 1013,02-802-7018,153-764,37.44860800090875,126.91699300000396,POINT (126.916993000004 37.44860800090875)
4316,1111061500,종로1.2.3.4가동,운현유치원,서울특별시 종로구 운니동 114,02-742-7790,110-350,37.576592000913585,126.98811699999894,POINT (126.9881169999989 37.57659200091359)
3536,1121585000,구의제1동,운호유치원,서울특별시 광진구 구의동 243-76,02-453-3339,143-200,37.538543000909414,127.08904400000365,POINT (127.0890440000037 37.53854300090941)
3702,1111064000,이화동,원남유치원,서울특별시 종로구 연건동 302-12,02-765-5505,110-460,37.57623500091106,126.99913700000428,POINT (126.9991370000043 37.57623500091106)
3309,1135061900,중계본동,원암유치원,서울특별시 노원구 중계본동 91-1,02-932-4488,139-855,37.649628000910475,127.08503700000344,POINT (127.0850370000034 37.64962800091048)
4319,1117063000,이촌제1동,원유치원,서울특별시 용산구 이촌1동 402,02-797-0038,140-031,37.519162000909546,126.9790169999971,POINT (126.9790169999971 37.51916200090955)
4318,1162052500,보라매동,원유치원,서울특별시 관악구 봉천1동 968-44,02-877-0862,151-051,37.487966000914,126.93196099999871,POINT (126.9319609999987 37.487966000914)
4321,1147055000,목5동,원일유치원,서울특별시 양천구 목6동 912,02-2646-4265,158-056,37.53389700090974,126.8808440000013,POINT (126.8808440000013 37.53389700090974)
3449,1141061500,연희동,원천유치원,서울특별시 서대문구 연희동 149-1번지,02-334-4048,120-110,37.57636800090784,126.9360549999977,POINT (126.9360549999977 37.57636800090784)
3310,1132071000,방학제3동,원형유치원,서울특별시 도봉구 방학3동 90-1,02-956-2158,132-024,37.659674000908744,127.02102499999859,POINT (127.0210249999986 37.65967400090874)
4551,1171054000,마천1동,위례우일유치원,서울특별시 송파구 성내천로47길 (마천동) 38-1,02-3401-2011,138-120,37.496550000910815,127.15776999999576,POINT (127.1577699999958 37.49655000091082)
3931,1150060500,가양제3동,유니유치원,서울특별시 강서구 가양3동 1485,02-2659-5216,157-809,37.56315300091116,126.85916100000414,POINT (126.8591610000041 37.56315300091116)
4288,1129076000,장위제1동,영천유치원,서울특별시 성북구 장위1동 231-46,02-941-6776,136-836,37.61406100091319,127.04044900000405,POINT (127.040449000004 37.61406100091319)
3181,1162061500,중앙동,예단유치원,서울특별시 관악구 봉천10동 860-21,02-871-0011,151-060,37.48266200091214,126.95244600000053,POINT (126.9524460000005 37.48266200091214)
3740,1120053500,왕십리도선동,예영유치원,서울특별시 성동구 홍익동 408,02-2293-2580,133-030,37.566540000914124,127.0303959999969,POINT (127.0303959999969 37.56654000091412)
4303,1150061100,발산제1동,예일유치원,서울특별시 강서구 내발산동 372-1,02-2667-6767,157-280,37.55368500090878,126.82903100000317,POINT (126.8290310000032 37.55368500090878)
3447,1138065000,수색동,오색유치원,서울특별시 은평구 수색동 133-1번지,02-306-2676,122-090,37.58380700091527,126.89642399999667,POINT (126.8964239999967 37.58380700091527)
4324,1126060000,중화제1동,유리유치원,서울특별시 중랑구 중화1동 292-1번지,02-495-6957,131-121,37.599603000914506,127.08159600000126,POINT (127.0815960000013 37.59960300091451)
4325,1117066000,이태원제2동,유성유치원,서울특별시 용산구 이태원2동 253-7,02-792-8691,140-856,37.54049900090749,126.99056300000333,POINT (126.9905630000033 37.54049900090749)
