,이름,종목,구,동,X좌표,Y좌표,건축면적(m^2),연면적(m^2)
65,안양천오금교인라인스케이트장,롤러스케이트장,양천구,신정동,126.875359,37.509572,8000,
66,안양천야구장,야구장,양천구,신정동,126.877983,37.515519,30000,
67,안양천목동교인라인스케이트장,롤러스케이트장,양천구,목동,126.88816100000001,37.532439000000004,702,
68,안양천고척교하부X게임장,롤러스케이트장,구로구,구로동,126.87113400000001,37.500023999999996,,
69,안양천C구장,축구장,구로구,구로동,126.872432,37.503411,,
70,안양천B구장,축구장,구로구,구로동,126.87211699999999,37.502451,,
71,안양천A구장,축구장,구로구,구로동,126.87168700000001,37.501218,,
72,"안양천A,B축구장",축구장,양천구,신정동,126.878266,37.516415,35000,
73,아차산배수지체육공원테니스장,테니스장,광진구,구의동,127.097609,37.548426,,
74,양천구민체육센터수영장,수영장,양천구,신정동,126.864553,37.516683,2637,7982
75,양천구민체육센터,생활체육관,양천구,신정동,126.864484,37.516563,2637,7982
76,양재천수영장,수영장,서초구,양재동,127.035549,37.473283,,
77,양재근린공원축구장,축구장,서초구,양재동,127.041696,37.471895,,5856
78,안양천오금교하부인라인스케이트장,롤러스케이트장,구로구,신도림동,126.875359,37.509572,,
79,신월야구공원,야구장,양천구,신월동,126.831829,37.525897,206,289
80,신월문화체육센터,생활체육관,양천구,신월동,126.83503600000002,37.519847999999996,839,3144
81,신림체육센터,생활체육관,관악구,미성동,126.916017,37.480096,973,1978
82,신동교육문화회관,실내체육관,서초구,잠원동,127.01235700000001,37.516343,1095,3902
83,신길종합사회복지관체육관,생활체육관,영등포구,신길동,126.921454,37.511044,6287,6287
84,신도림생활체육관,생활체육관,구로구,신도림동,126.883198,37.513801,,
85,신내공원다목적체육관,실내체육관,중랑구,신내동,127.089444,37.611249,1815,1815
86,양천주민편익시설,생활체육관,양천구,목동,126.883677,37.541462,882,3921
87,역삼청소년수련관수영장,수영장,강남구,역삼2동,127.04095,37.493973,821,7048
88,열린금호교육문화관수영장,수영장,성동구,금호2가,127.019702,37.552411,,4587
89,염리생활체육관,생활체육관,마포구,염리동,126.944919,37.542057,1544,1811
90,영롱이억새3구장,축구장,영등포구,문래동6가,126.880683,37.521328999999994,,
91,영롱이억새2구장,축구장,영등포구,문래동6가,126.88066299999998,37.520401,,
92,영롱이억새1구장,축구장,영등포구,문래동6가,126.880817,37.519186,,
93,영롱이갈대3구장,축구장,영등포구,양화동,126.886746,37.542678,,
94,영롱이갈대2구장,축구장,영등포구,양화동,126.88613899999999,37.54396,,
95,영롱이갈대1구장,축구장,영등포구,양화동,126.884883,37.545873,,
96,영등포구민체육센터수영장,수영장,영등포구,신길동,126.90643700000001,37.500607,1456,9131
97,영등포구민체육센터골프연습장,골프연습장,영등포구,신길동,126.90618400000001,37.500592,1456,9131
98,영등포구민체육센터,생활체육관,영등포구,신길동,126.906304,37.500465999999996,1456,9131
99,올림픽수영경기장,수영장,송파구,방이동,127.12658799999998,37.52105,10270,25180
100,올림픽기념국민생활관수영장,수영장,종로구,혜화동,126.999017,37.590603,2264,7746
101,올림픽기념국민생활관,생활체육관,종로구,혜화동,126.998824,37.590491,2264,7746
102,올림픽공원제2체육관,실내체육관,송파구,방이동,127.12635700000001,37.517375,8658,16358
103,올림픽공원제1체육관,실내체육관,송파구,방이동,127.127524,37.519208,14016,30548
104,올림픽골프교실,골프연습장,송파구,방이동,127.127524,37.519208,702,702
105,온조대왕문화체육관수영장,수영장,강동구,고덕동,127.157452,37.556521000000004,1745,7954
106,온조대왕문화체육관,생활체육관,강동구,고덕동,127.157472,37.556738,1745,7954
107,오륜테니스장,테니스장,송파구,방이동,127.140672,37.512945,,
108,오동골프연습장,골프연습장,강북구,번동,127.03631100000001,37.622618,2121,2121
109,오금공원테니스장,테니스장,송파구,오금동,127.133307,37.500473,,1299
110,오금공원인라인경기장,롤러스케이트장,송파구,오금동,127.133575,37.500689,,
111,영학정,국궁장,양천구,목동,126.87942,37.527255,3920,
112,영롱이인라인장(마당),롤러스케이트장,영등포구,문래동5가,126.880424,37.517685,9485,9485
113,초안산인조잔디축구장,축구장,도봉구,창동,127.04098300000001,37.648511,,6528
114,초안산근린공원테니스장,테니스장,노원구,월계동,127.05159499999999,37.63794,,1680
115,초안산근린공원축구장,축구장,노원구,월계동,127.05043799999999,37.639024,,6528
116,청소년회관수영장,수영장,관악구,대학동,126.935377,37.470246,845,4941
117,천마공원축구장,축구장,송파구,마천동,127.160175,37.500229,,
118,창동축구장,축구장,도봉구,창동,127.040774,37.648711999999996,8695,
119,열린금호교육문화관체육관,생활체육관,성동구,금호2가,127.019709,37.552439,,4587
120,역삼청소년수련관체육관,생활체육관,강남구,역삼2동,127.040981,37.493893,,7048
121,언남문화체육센터수영장,수영장,서초구,양재동,127.043843,37.472807,10140,14317
122,어린이대공원테니스장,테니스장,광진구,능동,127.08554199999999,37.549134,867.08,867.08
123,언남문화체육센터,생활체육관,서초구,양재동,127.043843,37.472807,,14325
124,언남문화체육센터골프연습장,골프연습장,서초구,양재동,127.043843,37.472807,10140,14317
125,어린이대공원축구장,축구장,광진구,능동,127.084286,37.547889,,6300
126,충무아트홀스포츠센터,생활체육관,중구,흥인동,127.014858,37.565865,2930,15445
127,태릉선수촌승리관,실내체육관,노원구,공릉동,127.101782,37.634797,1873,2075
128,태릉선수촌실내수영장,수영장,노원구,공릉동,127.101947,37.633435999999996,2490,2645
129,한강공원잠원지구테니스장,테니스장,서초구,잠원동,127.011008,37.520247999999995,,1304
130,한강공원잠원지구축구장,축구장,서초구,잠원동,127.004934,37.514709,,7140
131,한강공원이촌지구축구장2,축구장,용산구,이촌동,126.969624,37.517933,,4200
132,한강공원이촌지구축구장1,축구장,용산구,이촌동,126.958474,37.521741,7350,
133,한강공원이촌지구축구교육장,축구장,용산구,이촌동,126.969624,37.517933,,
134,한강공원이촌지구롤러스케이트장,롤러스케이트장,용산구,이촌동,126.97333799999998,37.516525,,
135,한강공원여의도지구수영장,수영장,영등포구,여의도동,126.919726,37.533607,5200,
136,한강공원양화지구축구장,축구장,영등포구,당산동,126.89348000000001,37.543971,,
137,한강공원반포지구축구장,축구장,서초구,반포동,127.004934,37.514709,,
138,한강시민공원이촌지구테니스장,테니스장,용산구,용산동6가,126.985301,37.515761,,
139,한강시민공원뚝섬지구테니스장,테니스장,광진구,자양동,127.07785,37.527309,,2680
140,한강시민공원뚝섬지구축구장,축구장,광진구,자양동,127.07633200000001,37.528082,,19800
141,한강시민공원뚝섬지구수영장,수영장,광진구,자양동,127.06707,37.529657,4640,
142,한강시민공원광나루지구테니스장,테니스장,강동구,암사동,127.12181799999999,37.549979,,
143,한강시민공원광나루지구수영장,수영장,강동구,천호동,127.121338,37.548517,351,351
144,한강공원망원지구테니스장,테니스장,마포구,망원동,126.899045,37.552386,1304,
145,한강공원망원지구축구장,축구장,마포구,망원동,126.900369,37.551434,8400,
146,한강공원망원지구야구장(임시),야구장,마포구,망원동,126.898354,37.552887,1680,
147,한강공원망원지구수영장,수영장,마포구,망원동,126.89282299999999,37.557271,,
148,한강공원난지지구국궁장,국궁장,마포구,상암동,126.86362700000001,37.574214000000005,11200,
149,한강공원광나루지구축구장3,축구장,송파구,풍납동,127.11580500000001,37.540684000000006,,
150,한강공원광나루지구축구장1~2,축구장,강동구,암사동,127.12221299999999,37.551123,,
151,한강공원광나루지구어린이야구장,야구장,송파구,풍납동,127.115284,37.540048,,
152,한강공원광나루지구야구장,야구장,송파구,풍납동,127.113183,37.538484999999994,,
153,한강공원강서지구축구장,축구장,강서구,개화동,126.80396999999999,37.596419,9876,9876
154,포이테니스장,테니스장,강남구,개포동,127.054409,37.475766,34,1500
155,태릉선수촌하키경기장,하키장,노원구,공릉동,127.103082,37.637638,,
156,태릉선수촌필승주체육관,실내체육관,노원구,공릉동,127.105121,37.637196,1566,4402
157,태릉선수촌필승관,실내체육관,노원구,공릉동,127.105597,37.636214,2606,5057
158,태릉선수촌오륜관,실내체육관,노원구,공릉동,127.106232,37.63713,8937,10102
159,태릉선수촌양궁훈련장,양궁장,노원구,공릉동,127.104396,37.638487,208,408
160,태릉선수촌실내빙상장,빙상장,노원구,공릉동,127.103082,37.637638,1495,5478
161,태릉선수촌다목적체육관,실내체육관,노원구,공릉동,127.102947,37.636872,1525,1593
162,충무아트홀스포츠센터수영장,수영장,중구,흥인동,127.014778,37.565748,,
163,태릉사격장,사격장,노원구,공릉동,127.09186100000001,37.631311,,
164,태릉선수촌국제스케이트장,빙상장,노원구,공릉동,127.102732,37.638621,19223,27067
165,태릉선수촌개선관,실내체육관,노원구,공릉동,127.10380900000001,37.634372,3623,7793
166,충무아트홀스포츠센터골프연습장,골프연습장,중구,흥인동,127.01484599999999,37.565826,,
167,올림픽실내테니스장,테니스장,송파구,방이동,127.128321,37.513573,5054,4994
168,은평구립축구장,축구장,은평구,진관동,126.92480400000001,37.630701,9750,
169,월드컵공원테니스장,테니스장,마포구,성산동,126.89684299999999,37.562248,,
170,월드컵공원인조잔디축구장,축구장,마포구,성산동,126.88394699999999,37.574193,8510,
171,월곡테니스장,테니스장,성북구,하월곡동,127.041677,37.609248,,
172,월곡인조잔디축구장,축구장,성북구,하월곡동,127.04078200000001,37.608678999999995,,4232
173,월곡구민운동장,축구장,성북구,하월곡동,127.043039,37.60884,4496,4496
174,우장테니스장,테니스장,강서구,화곡동,126.845858,37.550866,,
175,우장산인조잔디구장,축구장,강서구,화곡동,126.845073,37.550585,,
176,용산청소년수련관수영장,수영장,용산구,이촌동,126.97329599999999,37.521357,662,6497
177,응봉공원게이트볼장,게이트볼장,성동구,금호동1가,127.02154099999998,37.558097,,1110
178,은평청소년수련관체육관,생활체육관,은평구,응암동,126.92473799999999,37.594482,2154,4963
179,은평청소년수련관수영장,수영장,은평구,응암동,126.92477199999999,37.594559000000004,2154,4963
180,은평청소년수련관골프연습장,골프연습장,은평구,응암동,126.92455600000001,37.594246000000005,2154,4963
181,은평다목적체육관,실내체육관,은평구,진관동,126.924825,37.631278,2332,2954
182,은평구민체육센터테니스장,테니스장,은평구,진관동,126.922875,37.630734999999994,9988,
183,은평구민체육센터수영장,수영장,은평구,진관동,126.92369199999999,37.630586,2489,8847
184,은평구민체육센터골프연습장,골프연습장,은평구,진관동,126.92371999999999,37.63048,2489,8847
185,은평구민체육센터,생활체육관,은평구,진관동,126.92369,37.630426,2489,8847
186,응봉공원테니스장,테니스장,성동구,금호동1가,127.021413,37.556088,,1225
187,올림픽파크텔골프교실,골프연습장,송파구,방이동,127.116605,37.52251,300,300
188,용마폭포공원인조잔디축구장,축구장,중랑구,면목동,127.090104,37.574441,8547,
189,용산문화체육센터,생활체육관,용산구,문배동,126.967692,37.537362,762,5919
190,용산청소년수련관,생활체육관,용산구,이촌동,126.97325,37.521375,662,6497
191,용산문화체육센터수영장,수영장,용산구,문배동,126.967648,37.537209000000004,762,5919
192,올림픽테니스경기장,테니스장,송파구,방이동,127.12843899999999,37.51545,3993,9064
193,올림픽역도경기장,실내체육관,송파구,방이동,127.12503400000001,37.516868,5778,12817
194,흑석체육센터수영장,수영장,동작구,흑석동,126.963494,37.510062,989,2895
195,흑석체육센터,생활체육관,동작구,흑석동,126.963374,37.509993,989,2895
196,효창종합사회복지관체육관,생활체육관,용산구,효창동,126.96303600000002,37.541237,651,3841
197,효창종합사회복지관수영장,수영장,용산구,효창동,126.962929,37.541237,651,3841
198,효창운동장,축구장,용산구,효창동,126.96128799999998,37.543471000000004,3224,16068
199,황학정,국궁장,종로구,사직동,126.96394699999999,37.577742,134,
200,홍은동테니스장,테니스장,서대문구,홍은동,126.94035900000002,37.596940000000004,1978,
201,현저동테니스장,테니스장,서대문구,현저동,126.952398,37.573327,1013,
202,해오름휘트니스센터,생활체육관,성북구,돈암동,127.011075,37.594339,36713,985
203,해누리테니스장,테니스장,양천구,신정동,126.872073,37.511958,5120,
204,해누리축구장,축구장,양천구,신정동,126.87246200000001,37.511278000000004,38240,
205,해공체육문화센터,생활체육관,강동구,천호동,127.129725,37.542117,967,1347
