,도서관명,위도,경도,시군구명,소재지도로명주소,운영기관명,동
103,대방어린이도서관,37.5030242235,126.9252221319,동작구,서울특별시 동작구 대방동길 55,서울특별시 동작구청,대방동길
105,동작어린이도서관,37.509204429,126.94343400000001,동작구,서울특별시 동작구 장승배기로16길 98,서울특별시 동작구청,장승배기로16길
106,동작상도국주도서관,37.5068219493,126.9509960718,동작구,서울특별시 동작구 매봉로 37,서울특별시 동작구청,매봉로
202,넓은들작은도서관,37.511385,126.84141799999999,양천구,서울특별시 양천구 목동중앙남로 16나길 55,서울특별시 양천구청,목동중앙남로
203,고맙습니다 작은도서관,37.515237,126.854773,양천구,서울특별시 양천구 중앙로 209,서울특별시 양천구청,중앙로
204,호롱불작은도서관,37.519195,126.87056499999998,양천구,서울특별시 양천구 목동중앙남로 16나길 55,서울특별시 양천구청,목동중앙남로
205,그린나래미술도서관,37.518564000000005,126.854256,양천구,서울특별시 양천구 목동중앙남로 16나길 55,서울특별시 양천구청,목동중앙남로
206,지양마을 작은도서관,37.521851,126.826659,양천구,"서울특별시 양천구 지양로17길 33, 파크빌라",서울특별시 양천구청,지양로17길
207,달빛마을 작은도서관,37.533637,126.829094,양천구,서울특별시 양천구 목동중앙남로 16나길 55,서울특별시 양천구청,목동중앙남로
208,고운맘 작은도서관,37.5447045,126.84455600000001,양천구,서울특별시 양천구 목동중앙남로 16나길 55,서울특별시 양천구청,목동중앙남로
209,고운달 작은도서관,37.532792,126.8644277,양천구,서울특별시 양천구 목동중앙남로 16나길 55,서울특별시 양천구청,목동중앙남로
210,꿈자람 작은도서관,37.544781,126.864407,양천구,서울특별시 양천구 목동중앙남로 16나길 55,서울특별시 양천구청,목동중앙남로
211,달마을작은도서관,37.546114,126.87168100000001,양천구,서울특별시 양천구 목동중앙본로 120,서울특별시 양천구청,목동중앙본로
212,영어특성화도서관,37.515935999999996,126.86386499999999,양천구,서울특별시 양천구 화곡로4길 10,서울특별시 양천구청,화곡로4길
213,해맞이역사도서관,37.519047,126.83556499999999,양천구,서울특별시 양천구 화곡로4길 10,서울특별시 양천구청,화곡로4길
214,방아다리문학도서관,37.538525899999996,126.8271645,양천구,서울특별시 양천구 화곡로4길 10,서울특별시 양천구청,화곡로4길
215,개울건강도서관,37.526047999999996,126.85656599999999,양천구,서울특별시 양천구 중앙로52길 56,서울특별시 양천구청,중앙로52길
216,목마교육도서관,37.537171,126.881672,양천구,서울특별시 양천구 목동서로 11,서울특별시 양천구청,목동서로
217,미감도서관,37.538939,126.86546299999999,양천구,서울특별시 양천구 목동중앙남로 57-10,서울특별시 양천구청,목동중앙남로
218,신월음악도서관,37.524657,126.84006200000002,양천구,서울특별시 양천구 오목로5길 34,서울특별시 양천구청,오목로5길
219,갈산도서관,37.508835999999995,123.86733400000001,양천구,서울특별시 양천구 목동남로 4길 48-6,서울특별시 양천구청,목동남로
220,국사봉숲속작은도서관,37.4954320648,126.9405908581,동작구,서울특별시 동작구 양녕로23길27,서울특별시 동작구청,주의!!서울특별시 동작구 양녕로23길27
221,다울작은도서관,37.4788487,126.9732460032,동작구,서울특별시 동작구 사당로20길132,서울특별시 동작구청,주의!!서울특별시 동작구 사당로20길132
222,동작샘터도서관,37.488360899999996,126.977553,동작구,서울특별시 동작구 동작대로29길 63-26,서울특별시 동작구청,동작대로29길
223,약수도서관,37.497851000000004,126.9474396,동작구,서울특별시 동작구 양녕로22바길 64,서울특별시 동작구청,양녕로22바길
224,사당솔밭도서관,37.484056,126.96736899999999,동작구,서울특별시 동작구 솔밭로 86,서울특별시 동작구청,솔밭로
462,노원정보도서관,37.661100289699995,127.06500812450001,노원구　,서울특별시 노원구 노원로34길 43(상계동),노원구구립도서관,노원로34길
463,노원어린이도서관,37.657950851500004,127.0763790514,노원구　,서울특별시 노원구 한글비석로 346(중계동),노원구구립도서관,한글비석로
464,월계문화정보도서관,37.628636998699996,127.0561210123,노원구　,서울특별시 노원구 월계로 319(월계동),노원구구립도서관,월계로
465,상계문화정보도서관,37.678528117199996,127.0519415788,노원구　,서울특별시 노원구 동일로243길 57 (상계동),노원구구립도서관,동일로243길
466,불암도서관,37.661100289699995,127.06500812450001,노원구　,서울특별시 노원구 노원로34길 43(상계동),노원구구립도서관,노원로34길
467,화랑도서관,37.6215213438,127.0830475523,노원구　,서울특별시 노원구 노원로1나길 10 (공릉동),노원구구립도서관,노원로1나길
468,한내도서관,37.6235883764,127.0687815367,노원구　,서울특별시 노원구 마들로 86(월계동 1-1),노원구구립도서관,마들로
