,정류장명,위도,경도,표준ID,ARS-ID
269,오거리.한옥마을입구,37.5794684375,126.9697392663,100900104,1729
270,밀알기도원,37.6163963984,126.97574387610001,100900103,1732
271,창경궁.고궁호텔.메이플레이스호텔,37.5765581609,126.99744921690001,100000360,1733
272,광화문,37.5703260433,126.9738331615,100000329,1762
273,종로1가,37.570370000000004,126.980129,100000330,1763
274,종로2가,37.5699685262,126.98557513780001,100000333,1766
275,종로3가,37.5705896376,126.99315531180001,100000334,1767
276,종로3가,37.570102425500004,126.99099321860001,100000335,1768
277,종로4가,37.5704208133,126.99687999049999,100000336,1769
278,동대문종합시장종로6가,37.5707920608,127.0032060634,100000338,1771
279,종로도서관,37.5764842271,126.96712515979999,100900102,1776
280,경복궁역,37.5761780936,126.97150564479999,100000343,1777
281,경복궁역,37.5757554359,126.971315603,100000344,1778
282,안국역,37.5766137515,126.985229602,100000345,1779
283,안국역,37.5763185096,126.98550598290001,100000346,1780
284,창덕궁,37.577527902199996,126.9887919183,100000347,1781
285,성대입구,37.5835875947,126.9997033431,100000348,1782
286,종로사우나,37.5738011149,126.9877503526,100900101,1790
287,엄마분식,37.6012424257,126.9557163281,100900180,1791
288,삼청파출소,37.58164517,126.98132581979999,100900100,1792
289,통인시장.종로구보건소,37.5803350289,126.96875047969999,100900099,1793
290,종로5가역,37.570671358,127.0000249058,100900191,1794
291,평창공원지킴터입구,37.6172373713,126.97704744229999,100900098,1795
292,배화여중고,37.5767556306,126.96781567049999,100900145,1796
293,대학로입구.이화사거리,37.5759841652,127.0025801998,100900143,1797
294,운현궁,37.5752716136,126.98698138030001,100900144,1798
295,상명대입구,37.6000210109,126.9569583018,100900142,1799
296,삼청동주민센터,37.5846846831,126.98221051510001,100900141,1800
297,박노수미술관,37.5810265604,126.9668944502,100900140,1801
298,명동의류,37.616304998000004,126.97836854360001,100900139,1802
299,사직동주민센터,37.5762206893,126.96890390950001,100900138,1803
300,충신시장,37.5749766498,127.00540487399999,100900137,1804
301,안국역2번출구앞,37.5771728174,126.98611832719999,100900189,1805
302,금융연수원,37.5858776706,126.981847891,100900135,1807
303,감람산기도원,37.6159439291,126.9798729651,100900134,1809
304,카센터.터널앞,37.5741644592,126.96585932,100900133,1810
305,재동초등학교,37.578791085,126.9853617134,100900131,1812
306,교육과정평가원,37.5874185176,126.9817444742,100900129,1814
307,이화사거리,37.575320067199996,127.0022812884,100900128,1815
308,연화정사,37.6146490046,126.9794938432,100900127,1816
309,대신중고,37.5726178078,126.9616893251,100900126,1817
310,현대사거리,37.5792417814,126.9866353642,100900125,1819
311,교남동주민센터,37.5721522968,126.9612800199,100900215,1820
312,부암동주민센터.무계원,37.5929353403,126.96376822629999,100900181,1821
313,형제봉매표소,37.6128643152,126.9816861503,100900124,1823
314,교남동새마을금고,37.5714943551,126.962337459,100900123,1824
315,창신초교,37.5760372123,127.01572009610001,100900122,1825
316,가회동주민센터,37.5799426497,126.9851293823,100900168,1826
317,볼링장,37.5792554401,126.9879589184,100900167,1827
318,부암슈퍼,37.5947600723,126.9638602023,100900166,1829
319,지구촌교회,37.6130468496,126.9793481616,100900165,1830
320,월암공원,37.571188468,126.9639860521,100900164,1831
321,숭인1동주민센터,37.5774150014,127.01556074780001,100900163,1832
322,북촌한옥마을입구.정세권활동터,37.5812807738,126.98516874459999,100900162,1833
323,하림각,37.5976847268,126.9629663842,100900161,1835
324,보현빌라,37.6152615256,126.97828162350001,100900160,1836
325,스위스대사관,37.569988785,126.96580575459998,100900159,1837
326,안국선원.삼거리,37.582743249699995,126.9852205387,100900157,1839
327,세검정교회,37.599563246799995,126.95947049549999,100900156,1840
328,혜화동로터리,37.5859196111,127.00100322979999,100900200,1841
329,북악휴게실,37.613263788400005,126.97811229530001,100900155,1842
330,서울시교육청,37.5692429716,126.9668249505,100900154,1843
331,창신쌍용1단지.종로센트레빌아파트,37.5803228198,127.01556927850001,100900210,1844
332,사우디대사관,37.583863308000005,126.9852486243,100900153,1845
333,상명대입구,37.5998544708,126.9574023475,100900152,1846
334,혜화초등학교,37.5873892922,126.9999909413,100900151,1847
335,북악파크,37.6110083234,126.9778558349,100900150,1848
336,강북삼성병원,37.5685315243,126.9683376852,100900149,1849
337,청룡사.보문파크뷰자이아파트,37.5797846496,127.01715087870001,100900148,1850
338,감사원,37.5862656518,126.9855618026,100900147,1851
339,국민생활관,37.5896275957,126.99931378389999,100900201,1852
340,귀빈예식장,37.6089952635,126.9733337071,100900146,1853
